function,lib
do_uncompress_file,libarchive
process_head_file,libarchive
decode_code_length,libarchive
create_decode_tables,libarchive
parse_filter,libarchive
read_bits_16,libarchive
parse_tables,libarchive
read_consume_bits,libarchive
read_bits_32,libarchive
parse_filter_data,libarchive
do_uncompress_block,libarchive
