sink,scp,Top-1 (289)
ssh_kex2,ssh,Top-1 (22)
subprocess,sshd,Top-1 (29)
compat_cipher_proposal,sshd,Top-100(1) (tie)
compat_pkalg_proposal,sshd,Top-100(1) (tie)
compat_kex_proposal,sshd,Top-250+bb_hash (2)
