function,lib,name
sign_0,libgcrypt,sign_0
do_decrypt,libgcrypt,do_decrypt
ghash_internal,libgcrypt,ghash_internal
do_encrypt,libgcrypt,do_encrypt
prefetch_dec,libgcrypt,prefetch_dec
prefetch_enc,libgcrypt,prefetch_enc
decrypt,libgcrypt,decrypt
gen_k,libgcrypt,gen_k
_gcry_md_block_write,libgcrypt,_gcry_md_block_write
do_encrypt_3,libgcrypt,do_encrypt_3
