function,lib,name
xmlParsePubidLiteral,libxml2,xmlParsePubidLiteral
xmlSchemaFixupComplexType,libxml2,xmlSchemaFixupComplexType
xmlFreeEntity,libxml2,xmlFreeEntity
xmlParseNCName,libxml2,xmlParseNCName
xmlParseName,libxml2,xmlParseName
xmlParsePI,libxml2,xmlParsePI
xmlParseAttValueInternal,libxml2,xmlParseAttValueInternal
xmlTextReaderRead,libxml2,xmlTextReaderRead
xmlParseCDSect,libxml2,xmlParseCDSect
xmlParseStringName,libxml2,xmlParseStringName
xmlParseEntityValue,libxml2,xmlParseEntityValue
xmlCtxtUseOptionsInternal,libxml2,xmlCtxtUseOptionsInternal
xmlDetectSAX2,libxml2,xmlDetectSAX2
xmlDictComputeFastKey,libxml2,xmlDictComputeFastKey
xmlParseComment,libxml2,xmlParseComment
xmlSAXVersion,libxml2,xmlSAXVersion
xmlStaticCopyNodeList,libxml2,xmlStaticCopyNodeList
xmlParseSystemLiteral,libxml2,xmlParseSystemLiteral
xmlParseNmtoken,libxml2,xmlParseNmtoken
xmlCreateEntity,libxml2,xmlCreateEntity
